route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000062,OCESN2062F3521706:2024-10-12T00:35:06Z,2062,1,79,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000063,OCESN2065F3016872:2024-10-11T00:34:04Z,2065,0,80,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000054,OCESN2066F3119128:2024-10-10T00:45:48Z,2066,1,81,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000064,OCESN2066F3255081:2024-10-09T00:32:19Z,2066,1,82,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000065,OCESN2067F2425942:2024-10-12T00:35:06Z,2067,0,83,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000066,OCESN2067F3279042:2024-10-09T00:32:19Z,2067,0,84,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000054,OCESN2070F3336787:2024-10-09T00:32:19Z,2070,1,85,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000050,OCESN2071F3303010:2024-10-09T00:32:19Z,2071,0,86,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000001,OCESN2072F3384234:2024-10-09T00:32:19Z,2072,1,87,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000053,OCESN2074F3097421:2024-10-09T00:32:19Z,2074,1,88,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000018,OCESN2074F3153644:2024-10-09T00:32:19Z,2074,1,89,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000067,OCESN2076F3039526:2024-10-12T00:35:06Z,2076,1,90,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000068,OCESN2077F3335979:2024-10-09T00:32:19Z,2077,0,91,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000054,OCESN2079F3438629:2024-10-09T00:32:19Z,2079,0,92,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000069,OCESN2080F3089912:2024-09-25T00:19:05Z,2080,0,93,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000007,OCESN2080F3311424:2024-09-25T00:19:05Z,2080,0,94,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000070,OCESN2083F3089905:2024-09-25T00:19:05Z,2083,1,95,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000071,OCESN2083F3329579:2024-09-25T00:19:05Z,2083,1,96,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000072,OCESN2086F3090490:2024-10-09T00:32:19Z,2086,1,97,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000073,OCESN2086F3422782:2024-10-09T00:32:19Z,2086,1,98,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000074,OCESN2087F3153316:2024-09-25T00:19:05Z,2087,0,99,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000075,OCESN2087F3153683:2024-09-25T00:19:05Z,2087,0,100,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000076,OCESN2087F3162666:2024-10-08T00:31:46Z,2087,0,101,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000077,OCESN2087F3267357:2024-09-25T00:19:05Z,2087,0,102,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000044,OCESN2087F3313640:2024-09-25T00:19:05Z,2087,0,103,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000045,OCESN2087F3444554:2024-09-25T00:19:05Z,2087,0,104,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000003,OCESN2090F3316541:2024-09-25T00:19:05Z,2090,1,105,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000032,OCESN2090F3317992:2024-09-25T00:19:05Z,2090,1,106,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000036,OCESN2092F3454656:2024-09-25T00:19:05Z,2092,0,107,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000038,OCESN2092F3461892:2024-10-12T00:35:06Z,2092,0,108,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000078,OCESN2096F3089883:2024-09-30T00:22:58Z,2096,1,109,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000027,OCESN2096F3133597:2024-09-25T00:19:05Z,2096,1,110,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000036,OCESN2096F3311419:2024-09-25T00:19:05Z,2096,1,111,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000044,OCESN2096F3316334:2024-09-25T00:19:05Z,2096,1,112,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000079,OCESN2096F3316523:2024-09-25T00:19:05Z,2096,1,113,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000080,OCESN2096F3364533:2024-09-25T00:19:05Z,2096,1,114,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000070,OCESN2096F3436525:2024-09-25T00:19:05Z,2096,1,115,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000081,OCESN2096F3436526:2024-09-25T00:19:05Z,2096,1,116,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000082,OCESN2096F3436550:2024-09-25T00:19:05Z,2096,1,117,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000083,OCESN2096F3436551:2024-09-25T00:19:05Z,2096,1,118,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000084,OCESN2202F2573221:2024-10-08T00:31:46Z,2202,1,119,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000085,OCESN2202F2700576:2024-09-25T00:19:05Z,2202,1,120,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000086,OCESN2202F3162594:2024-09-25T00:19:05Z,2202,1,121,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000087,OCESN2203F3137984:2024-10-10T00:45:48Z,2203,1,122,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000038,OCESN2203F3159574:2024-09-25T00:19:05Z,2203,1,123,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000088,OCESN2203F3249414:2024-10-08T00:31:46Z,2203,1,124,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000069,OCESN2204F2895637:2024-10-07T00:33:12Z,2204,0,125,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000072,OCESN2204F3064978:2024-10-08T00:31:46Z,2204,0,126,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000087,OCESN2204F3133677:2024-10-10T00:45:48Z,2204,0,127,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000054,OCESN2204F3391174:2024-09-25T00:19:05Z,2204,0,128,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000037,OCESN2208F3162586:2024-10-06T00:31:34Z,2208,1,129,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000011,OCESN2209F3091765:2024-09-25T00:19:05Z,2209,1,130,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000007,OCESN2209F3316357:2024-09-25T00:19:05Z,2209,1,131,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000018,OCESN2209F3382290:2024-09-25T00:19:05Z,2209,,132,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000037,OCESN2210F3311743:2024-10-13T00:47:17Z,2210,1,133,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000072,OCESN2213F2393878:2024-10-12T00:35:06Z,2213,1,134,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000018,OCESN2213F2942256:2024-09-25T00:19:05Z,2213,1,135,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000045,OCESN2214F3012869:2024-09-25T00:19:05Z,2214,1,136,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000054,OCESN2214F3060627:2024-09-25T00:19:05Z,2214,1,137,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000018,OCESN2214F3090260:2024-10-09T00:32:19Z,2214,1,138,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000025,OCESN2214F3312552:2024-10-12T00:35:06Z,2214,1,139,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000073,OCESN2218F3311408:2024-09-25T00:19:05Z,2218,0,140,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000086,OCESN2218F3382289:2024-09-25T00:19:05Z,2218,,141,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000089,OCESN2223F3312438:2024-10-08T00:31:46Z,2223,1,142,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000090,OCESN2226F3089844:2024-10-08T00:31:46Z,2226,1,143,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000091,OCESN2237F3160702:2024-10-10T10:27:58Z,2237,1,144,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000092,OCESN2237F3160703:2024-10-10T10:27:58Z,2237,1,145,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000093,OCESN2239F3153945:2024-09-25T00:19:05Z,2239,,146,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000084,OCESN2239F3250887:2024-09-25T00:19:05Z,2239,0,147,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000054,OCESN2239F3261774:2024-09-25T00:19:05Z,2239,0,148,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000025,OCESN2239F3261970:2024-09-25T00:19:05Z,2239,0,149,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000074,OCESN2239F3310616:2024-09-25T00:19:05Z,2239,0,150,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000094,OCESN2239F3311402:2024-09-25T00:19:05Z,2239,0,151,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000095,OCESN2239F3311441:2024-09-25T00:19:05Z,2239,0,152,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000096,OCESN2239F3311486:2024-09-25T00:19:05Z,2239,0,153,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000017,OCESN2239F3313036:2024-09-25T00:19:05Z,2239,0,154,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000035,OCESN2239F3350508:2024-09-25T00:19:05Z,2239,,155,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000097,OCESN2239F3360095:2024-09-25T00:19:05Z,2239,0,156,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000098,OCESN2242F3091019:2024-09-25T00:19:05Z,2242,1,157,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000084,OCESN2242F3153239:2024-09-25T00:19:05Z,2242,1,158,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000044,OCESN2242F3153240:2024-09-25T00:19:05Z,2242,1,159,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000018,OCESN2242F3153241:2024-09-25T00:19:05Z,2242,1,160,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000002,OCESN2242F3153243:2024-09-25T00:19:05Z,2242,1,161,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000099,OCESN2242F3153762:2024-09-25T00:19:05Z,2242,1,162,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000100,OCESN2242F3153959:2024-09-25T00:19:05Z,2242,1,163,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000086,OCESN2242F3312093:2024-09-25T00:19:05Z,2242,1,164,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000064,OCESN2242F3329558:2024-09-25T00:19:05Z,2242,1,165,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000101,OCESN2242F3333370:2024-09-25T00:19:05Z,2242,1,166,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000102,OCESN2242F3334131:2024-09-25T00:19:05Z,2242,1,167,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000035,OCESN2243F3153375:2024-10-10T10:27:58Z,2243,1,168,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000050,OCESN2243F3162958:2024-10-10T10:27:58Z,2243,1,169,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000012,OCESN2243F3162959:2024-10-10T10:27:58Z,2243,1,170,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000099,OCESN2247F3164599:2024-10-13T00:47:17Z,2247,1,171,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000103,OCESN2247F3339162:2024-10-10T10:27:58Z,2247,1,172,
FR:Line::0DDDEAB2-4EBA-4985-96AB-1DEDD0F4902D:,000063,OCESN2253F3163182:2024-10-12T00:35:06Z,2253,0,173,
FR:Line::0DDDEAB2-4EBA-4985-96AB-1DEDD0F4902D:,000012,OCESN2260F3169937:2024-09-25T00:19:05Z,2260,1,174,
FR:Line::0DDDEAB2-4EBA-4985-96AB-1DEDD0F4902D:,000068,OCESN2262F3166241:2024-10-08T00:31:46Z,2262,1,175,
FR:Line::0DDDEAB2-4EBA-4985-96AB-1DEDD0F4902D:,000056,OCESN2264F3166280:2024-10-07T00:33:12Z,2264,1,176,
FR:Line::0DDDEAB2-4EBA-4985-96AB-1DEDD0F4902D:,000056,OCESN2266F3160386:2024-10-07T00:33:12Z,2266,1,177,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000104,OCESN2350F3015458:2024-10-10T00:45:48Z,2350,1,178,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000105,OCESN2350F3162182:2024-10-13T00:47:17Z,2350,1,179,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000106,OCESN2350F3389659:2024-09-25T00:19:05Z,2350,1,180,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000107,OCESN2350F3389660:2024-09-25T00:19:05Z,2350,1,181,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000025,OCESN2352F3165229:2024-10-07T00:33:12Z,2352,1,182,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000038,OCESN2352F3165230:2024-09-25T00:19:05Z,2352,1,183,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000035,OCESN2356F3099209:2024-09-25T00:19:05Z,2356,1,184,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000018,OCESN2356F3384140:2024-09-25T00:19:05Z,2356,1,185,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000108,OCESN2356F3386005:2024-09-25T00:19:05Z,2356,1,186,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000109,OCESN2356F3386006:2024-09-25T00:19:05Z,2356,1,187,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000032,OCESN2356F3386007:2024-09-25T00:19:05Z,2356,1,188,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000110,OCESN2356F3423364:2024-10-13T00:47:17Z,2356,1,189,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000111,OCESN2356F3423365:2024-10-11T00:34:04Z,2356,1,190,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000036,OCESN2356F3483678:2024-10-11T00:34:04Z,2356,1,191,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000012,OCESN2358F3171459:2024-10-10T00:45:48Z,2358,1,192,
